2020-02-02 00:33:53 status half-installed librtmp1:amd64 2.4+20151223.gitfa8646d.1-1+b1
2020-02-02 00:33:53 status unpacked librtmp1:amd64 2.4+20151223.gitfa8646d.1-1+b1
2020-02-02 00:33:53 status unpacked librtmp1:amd64 2.4+20151223.gitfa8646d.1-1+b1
2020-02-02 00:33:53 install libssh2-1:amd64 <none> 1.7.0-1+deb9u1
2020-02-02 00:33:53 status half-installed libssh2-1:amd64 1.7.0-1+deb9u1
2020-02-02 00:33:53 status unpacked libssh2-1:amd64 1.7.0-1+deb9u1
2020-02-02 00:33:53 status unpacked libssh2-1:amd64 1.7.0-1+deb9u1
2020-02-02 00:33:53 install libcurl3:amd64 <none> 7.52.1-5+deb9u9
2020-02-02 00:33:53 status half-installed libcurl3:amd64 7.52.1-5+deb9u9
2020-02-02 00:33:53 status unpacked libcurl3:amd64 7.52.1-5+deb9u9
2020-02-02 00:33:53 status unpacked libcurl3:amd64 7.52.1-5+deb9u9
2020-02-02 00:33:53 install curl:amd64 <none> 7.52.1-5+deb9u9
2020-02-02 00:33:53 status half-installed curl:amd64 7.52.1-5+deb9u9
2020-02-02 00:33:53 status unpacked curl:amd64 7.52.1-5+deb9u9
2020-02-02 00:33:53 status unpacked curl:amd64 7.52.1-5+deb9u9
2020-02-02 00:33:53 startup packages configure
2020-02-02 00:33:53 configure libnghttp2-14:amd64 1.18.1-1+deb9u1 <none>
2020-02-02 00:33:53 status unpacked libnghttp2-14:amd64 1.18.1-1+deb9u1
2020-02-02 00:33:53 status half-configured libnghttp2-14:amd64 1.18.1-1+deb9u1
2020-02-02 00:33:53 status installed libnghttp2-14:amd64 1.18.1-1+deb9u1
2020-02-02 00:33:53 configure libldap-common:all 2.4.44+dfsg-5+deb9u3 <none>
2020-02-02 00:33:53 status unpacked libldap-common:all 2.4.44+dfsg-5+deb9u3
2020-02-02 00:33:53 status unpacked libldap-common:all 2.4.44+dfsg-5+deb9u3
2020-02-02 00:33:53 status half-configured libldap-common:all 2.4.44+dfsg-5+deb9u3
2020-02-02 00:33:53 status installed libldap-common:all 2.4.44+dfsg-5+deb9u3
2020-02-02 00:33:53 configure libsasl2-modules-db:amd64 2.1.27~101-g0780600+dfsg-3+deb9u1 <none>
2020-02-02 00:33:53 status unpacked libsasl2-modules-db:amd64 2.1.27~101-g0780600+dfsg-3+deb9u1
2020-02-02 00:33:53 status half-configured libsasl2-modules-db:amd64 2.1.27~101-g0780600+dfsg-3+deb9u1
2020-02-02 00:33:53 status installed libsasl2-modules-db:amd64 2.1.27~101-g0780600+dfsg-3+deb9u1
2020-02-02 00:33:53 configure libsasl2-2:amd64 2.1.27~101-g0780600+dfsg-3+deb9u1 <none>
2020-02-02 00:33:53 status unpacked libsasl2-2:amd64 2.1.27~101-g0780600+dfsg-3+deb9u1
2020-02-02 00:33:53 status half-configured libsasl2-2:amd64 2.1.27~101-g0780600+dfsg-3+deb9u1
2020-02-02 00:33:53 status installed libsasl2-2:amd64 2.1.27~101-g0780600+dfsg-3+deb9u1
2020-02-02 00:33:53 configure libtasn1-6:amd64 4.10-1.1+deb9u1 <none>
2020-02-02 00:33:53 status unpacked libtasn1-6:amd64 4.10-1.1+deb9u1
2020-02-02 00:33:53 status half-configured libtasn1-6:amd64 4.10-1.1+deb9u1
2020-02-02 00:33:53 status installed libtasn1-6:amd64 4.10-1.1+deb9u1
2020-02-02 00:33:53 configure libssl1.0.2:amd64 1.0.2u-1~deb9u1 <none>
2020-02-02 00:33:53 status unpacked libssl1.0.2:amd64 1.0.2u-1~deb9u1
2020-02-02 00:33:53 status half-configured libssl1.0.2:amd64 1.0.2u-1~deb9u1
